Category,Product,Package Type,Weight,Price
ORGANIC SPICE & MASALA,Black Pepper Powder (Kali Mirch),Glass Bottle,0.08,135
ORGANIC SPICE & MASALA,Black Pepper Powder (Kali Mirch),Glass Bottle,0.2,320
ORGANIC OTHER,Jaggery Powder (Gur Powder),Brown Pouch,0.5,85
ORGANIC OTHER,Jaggery Powder (Gur Powder),Brown Pouch,1,140
ORGANIC OTHER,Jaggery Powder (Gur Powder),Brown Pouch,0.25,55
ORGANIC DALS & LENTILS,Masoor Dal Mogar Split without Skin,Brown Pouch,0.5,105
ORGANIC DALS & LENTILS,Masoor Dal Mogar Split without Skin,Brown Pouch,1,180
ORGANIC DALS & LENTILS,Masoor Dal Mogar Split without Skin,Brown Pouch,2,340
ORGANIC DALS & LENTILS,Masoor Malka Whole without Skin,Brown Pouch,0.5,105
ORGANIC DALS & LENTILS,Masoor Malka Whole without Skin,Brown Pouch,1,185
ORGANIC DALS & LENTILS,Masoor Malka Whole without Skin,Brown Pouch,2,345
ORGANIC DALS & LENTILS,Dollar Chickpeas (Kabuli Chana),Brown Pouch,0.5,120
ORGANIC DALS & LENTILS,Dollar Chickpeas (Kabuli Chana),Brown Pouch,1,220
ORGANIC DALS & LENTILS,Dollar Chickpeas (Kabuli Chana),Brown Pouch,2,420
ORGANIC SPICE & MASALA,Ajwain Seeds,Glass Bottle,0.06,55
ORGANIC SPICE & MASALA,Ajwain Seeds,Glass Bottle,0.15,110
ORGANIC SPICE & MASALA,Ajwain Seeds,Brown Pouch,0.1,75
ORGANIC SPICE & MASALA,Ajwain Seeds,Brown Pouch,0.15,100
ORGANIC SPICE & MASALA,Ajwain Seeds,Brown Pouch,0.25,155
ORGANIC SPICE & MASALA,Coriander Powder (Dhania Powder),Glass Bottle,0.06,45
ORGANIC SPICE & MASALA,Coriander Powder (Dhania Powder),Glass Bottle,0.15,75
ORGANIC SPICE & MASALA,Coriander Powder (Dhania Powder),Brown Pouch,0.25,100
ORGANIC SPICE & MASALA,Coriander Powder (Dhania Powder),Brown Pouch,0.5,175
ORGANIC SPICE & MASALA,Coriander Seeds (Khada Dhania),Brown Pouch,0.1,55
ORGANIC SPICE & MASALA,Coriander Seeds (Khada Dhania),Brown Pouch,0.25,95
ORGANIC SPICE & MASALA,Coriander Seeds (Khada Dhania),Brown Pouch,0.5,175
ORGANIC SPICE & MASALA,Fennel Seeds (Saunf),Glass Bottle,0.125,80
ORGANIC SPICE & MASALA,Fennel Seeds (Saunf),Brown Pouch,0.1,65
ORGANIC SPICE & MASALA,Fennel Seeds (Saunf),Brown Pouch,0.5,220
ORGANIC SPICE & MASALA,Fennel Seeds (Saunf),Brown Pouch,0.25,125
ORGANIC SPICE & MASALA,Fenugreek Seeds (Methi Dana),Glass Bottle,0.25,80
ORGANIC SPICE & MASALA,Fenugreek Seeds (Methi Dana),Brown Pouch,0.1,40
ORGANIC SPICE & MASALA,Fenugreek Seeds (Methi Dana),Brown Pouch,0.25,70
ORGANIC SPICE & MASALA,Fenugreek Seeds (Methi Dana),Brown Pouch,0.5,115
ORGANIC SEEDS,Flax Seeds (Alsi),Glass Bottle,0.09,35
ORGANIC SEEDS,Flax Seeds (Alsi),Glass Bottle,0.2,75
ORGANIC SEEDS,Flax Seeds (Alsi),Brown Pouch,0.1,45
ORGANIC SEEDS,Flax Seeds (Alsi),Brown Pouch,0.25,75
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Micro),Glass Bottle,0.225,80
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Micro),Brown Pouch,0.25,75
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Micro),Brown Pouch,0.5,125
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Big),Glass Bottle,0.225,70
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Big),Brown Pouch,0.25,65
ORGANIC SPICE & MASALA,Mustard Seeds (Rai Big),Brown Pouch,0.5,105
ORGANIC MILLETS,Pearl Millet (Bajra),Brown Pouch,0.5,65
ORGANIC MILLETS,Pearl Millet (Bajra),Brown Pouch,1,105
ORGANIC MILLETS,Pearl Millet (Bajra),Brown Pouch,2,195
ORGANIC DALS & LENTILS,Urad Dal Split with Skin,Brown Pouch,0.5,105
ORGANIC DALS & LENTILS,Urad Dal Split with Skin,Brown Pouch,1,195
ORGANIC DALS & LENTILS,Urad Dal Split with Skin,Brown Pouch,2,370
